files	numero_controle_pncp	tamanho (MB)	url
63864592045118932613959_PL+157+-+CC+13+-+PAVI..docx	88496468000160-1-000165/2024	0.22	https://pncp.gov.br/pncp-api/v1/orgaos/88496468000160/compras/2024/165/arquivos/5
63864592150884925913959_Termo+de+Referencia.pdf	88496468000160-1-000165/2024	0.98	https://pncp.gov.br/pncp-api/v1/orgaos/88496468000160/compras/2024/165/arquivos/7
63864591575077212436787_1_36633_DFD.pdf	87612818000143-1-000612/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/612/arquivos/1
63864592189174693713959_famurs.pdf	88496468000160-1-000165/2024	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/88496468000160/compras/2024/165/arquivos/8
63864591662650925736787_Proposta+Turbo.pdf	87612818000143-1-000612/2024	0.39	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/612/arquivos/2
63864591685164469636787_Dispensa+463.pdf	87612818000143-1-000612/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/612/arquivos/3
63864591763127849036787_Comprovante+de+public..pdf	87612818000143-1-000612/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/612/arquivos/4
6386458589648592765180_1_5141_DFD.pdf	93845519000151-1-000241/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/93845519000151/compras/2024/241/arquivos/1
6386458599000364775180_02+Homologacao.docx	93845519000151-1-000241/2024	0.82	https://pncp.gov.br/pncp-api/v1/orgaos/93845519000151/compras/2024/241/arquivos/2
6386458606226922165180_Notorio+Saber.pdf	93845519000151-1-000241/2024	0.63	https://pncp.gov.br/pncp-api/v1/orgaos/93845519000151/compras/2024/241/arquivos/3
6386458610201745105180_PROPOSTA.pdf	93845519000151-1-000241/2024	0.49	https://pncp.gov.br/pncp-api/v1/orgaos/93845519000151/compras/2024/241/arquivos/4
63864618865906077047595_1_47519_DFD.pdf	91105452000193-1-000098/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/91105452000193/compras/2024/98/arquivos/1
63864595997314196415979_Geni+Confeccoes.pdf	04204318000145-1-001181/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/04204318000145/compras/2024/1181/arquivos/1
63864595997321101915979_TERMO+DE+RESPONSABILI..pdf	04204318000145-1-001181/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/04204318000145/compras/2024/1181/arquivos/2
63864596002034739116169_3_15979_DFD.pdf	04204318000145-1-001181/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/04204318000145/compras/2024/1181/arquivos/3
6386460530710455761926_PREGAO+ELETRONICO+052-.pdf	87613170000120-1-000124/2024	0.46	https://pncp.gov.br/pncp-api/v1/orgaos/87613170000120/compras/2024/124/arquivos/1
63864249375052314024749_Prefeitura+Municipal+.pdf	87613097000196-1-000102/2024	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/87613097000196/compras/2024/102/arquivos/1
63864249403758310324749_Pregao+n%C2%BA+032.2024-+e..pdf	87613097000196-1-000102/2024	0.60	https://pncp.gov.br/pncp-api/v1/orgaos/87613097000196/compras/2024/102/arquivos/2
63864594310818661924749_%28-CONTABILIDADE-15753..pdf	87613097000196-1-000102/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/87613097000196/compras/2024/102/arquivos/3
63864615476392145826009_Edital.pdf	92465210000173-1-000163/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/92465210000173/compras/2024/163/arquivos/1
63864615532392224226009_Item.pdf	92465210000173-1-000163/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/92465210000173/compras/2024/163/arquivos/2
63864594098176199036792_1_36689_DFD.pdf	87612818000143-1-000616/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/616/arquivos/1
63864608276802501736792_Dispensa+468.pdf	87612818000143-1-000616/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/616/arquivos/3
63864608253259514236792_Proposta+Viel%2C+GR+e+WR.pdf	87612818000143-1-000616/2024	1.83	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/616/arquivos/2
63864615730696870510316_1_10311_DFD.pdf	92465228000175-1-000136/2024	0.06	https://pncp.gov.br/pncp-api/v1/orgaos/92465228000175/compras/2024/136/arquivos/1
63864610200347288036792_Comprovante+de+public..pdf	87612818000143-1-000616/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/616/arquivos/4
63864593582886037836790_1_36630_DFD.pdf	87612818000143-1-000615/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/615/arquivos/1
63864593806026168436790_Proposta+Rempel.pdf	87612818000143-1-000615/2024	0.41	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/615/arquivos/2
63864593900371160236790_Comprovante+de+public..pdf	87612818000143-1-000615/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/615/arquivos/4
63864593827574431936790_Dispensa+466.pdf	87612818000143-1-000615/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/615/arquivos/3
63864593305693413436789_1_36650_DFD.pdf	87612818000143-1-000614/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/614/arquivos/1
63864593393875115936789_Dispensa+465.pdf	87612818000143-1-000614/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/614/arquivos/3
63864593374414201536789_Proposta+BIOTECNO.pdf	87612818000143-1-000614/2024	0.49	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/614/arquivos/2
63864593447830748836789_Comprovante+de+public..pdf	87612818000143-1-000614/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/614/arquivos/4
63864592072459673236788_Proposta+Turbo.pdf	87612818000143-1-000613/2024	0.39	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/613/arquivos/2
63864591995734969736788_1_36634_DFD.pdf	87612818000143-1-000613/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/613/arquivos/1
63864592100486476036788_Dispensa+464.pdf	87612818000143-1-000613/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/613/arquivos/3
63864592189096042036788_Comprovante+de+public..pdf	87612818000143-1-000613/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/87612818000143/compras/2024/613/arquivos/4
63864595464478182182540_1_82205_DFD.pdf	87613048000153-1-000250/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/87613048000153/compras/2024/250/arquivos/1
63864595716215215782540_DECLARACAO+DE+EXCLUSI..pdf	87613048000153-1-000250/2024	0.44	https://pncp.gov.br/pncp-api/v1/orgaos/87613048000153/compras/2024/250/arquivos/2
63864595762608147982540_ESTUDO+TECNICO+PRELIM..pdf	87613048000153-1-000250/2024	2.83	https://pncp.gov.br/pncp-api/v1/orgaos/87613048000153/compras/2024/250/arquivos/3
63864596373780047782540_PROCESSO+DE+INEXIGIBI..pdf	87613048000153-1-000250/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/87613048000153/compras/2024/250/arquivos/5
63864595889334123382540_PROPOSTA.pdf	87613048000153-1-000250/2024	1.76	https://pncp.gov.br/pncp-api/v1/orgaos/87613048000153/compras/2024/250/arquivos/4
ANEXO+DE+ITENS_PREGAO_20240011.pdf	07954480000179-1-019421/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19421/arquivos/2
PE20240011SESPORTE.pdf	07954480000179-1-019421/2024	0.29	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19421/arquivos/3
Capa_Compra_Direta_84_2024.pdf	05532085000172-1-000265/2024	0.09	https://pncp.gov.br/pncp-api/v1/orgaos/05532085000172/compras/2024/265/arquivos/1
TR20241015183119.pdf	05532085000172-1-000265/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/05532085000172/compras/2024/265/arquivos/2
842024ImpressorastrmicasEJUDconcomitante20241015183110.pdf	05532085000172-1-000265/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/05532085000172/compras/2024/265/arquivos/3
Edital+do+PE+n+04+2024_Aquisicao+de+pick+up.pdf	24226342000192-1-000009/2024	0.85	https://pncp.gov.br/pncp-api/v1/orgaos/24226342000192/compras/2024/9/arquivos/1
document+-+2024-10-15T192658.366.pdf	26989715000102-1-002119/2024	1.18	https://pncp.gov.br/pncp-api/v1/orgaos/26989715000102/compras/2024/2119/arquivos/1
ANEXO+DE+ITENS_PREGAO_20240104.pdf	07954480000179-1-019420/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19420/arquivos/2
PE20240104CAGECE.pdf	07954480000179-1-019420/2024	0.38	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19420/arquivos/3
tmpJFmBSh.pdf	01612383000111-1-000008/2024	0.47	https://pncp.gov.br/pncp-api/v1/orgaos/01612383000111/compras/2024/8/arquivos/1
Aviso+Dispensa+Eletronica+90021-2024-TR-ETP.pdf	21195755000169-1-000046/2024	3.01	https://pncp.gov.br/pncp-api/v1/orgaos/21195755000169/compras/2024/46/arquivos/1
EDITAL.pdf	07954480000179-1-019419/2024	0.40	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19419/arquivos/1
PE20241160SESA.pdf	07954480000179-1-019419/2024	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19419/arquivos/2
ANEXO+DE+ITENS_PREGAO_20241160.pdf	07954480000179-1-019419/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19419/arquivos/3
Edital+n%C2%B0+20240006.pdf	07954480000179-1-019418/2024	0.27	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19418/arquivos/1
ANEXO+DE+ITENS_PREGAO_20240006.pdf	07954480000179-1-019418/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19418/arquivos/2
PE20240006SPS.pdf	07954480000179-1-019418/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19418/arquivos/3
Edital.pdf	07954480000179-1-019417/2024	0.37	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19417/arquivos/1
PE20241187SESA.pdf	07954480000179-1-019417/2024	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19417/arquivos/2
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPUBLICAO+PNCP.pdf	88370879000104-1-002726/2024	0.20	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2726/arquivos/1
ANEXO+DE+ITENS_PREGAO_20241187.pdf	07954480000179-1-019417/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19417/arquivos/3
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPROPOSTA+DO+FORNECEDOR+CONTRATADO.pdf	88370879000104-1-002726/2024	1.10	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2726/arquivos/2
EDITAL.pdf	07954480000179-1-019416/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19416/arquivos/1
AC21_2024-assinado1-assinado.pdf	00394502000144-1-013844/2024	0.86	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2024/13844/arquivos/1
ANEXO+DE+ITENS_PREGAO_20240052.pdf	07954480000179-1-019416/2024	0.02	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19416/arquivos/2
PE20240052SEDUC.pdf	07954480000179-1-019416/2024	0.60	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19416/arquivos/3
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPUBLICAO+PNCP.pdf	88370879000104-1-002724/2024	0.20	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2724/arquivos/1
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPROPOSTA+DO+FORNECEDOR+CONTRATADO.pdf	88370879000104-1-002724/2024	0.82	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2724/arquivos/2
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPUBLICAO+PNCP.pdf	88370879000104-1-002725/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2725/arquivos/1
EDITAL0762024+OK.pdf	18423582000184-1-000178/2024	0.48	https://pncp.gov.br/pncp-api/v1/orgaos/18423582000184/compras/2024/178/arquivos/1
EDITAL+MEDICAMENTO+COMPLETO.pdf	13810544000160-1-000125/2024	3.05	https://pncp.gov.br/pncp-api/v1/orgaos/13810544000160/compras/2024/125/arquivos/1
%2Fvar%2Fwww%2Fhtml%2Fmulti24%2Fsistemas%2Fmulti24%2Fassets%2Ftmp%2FPROPOSTA+DO+FORNECEDOR+CONTRATADO.pdf	88370879000104-1-002725/2024	2.31	https://pncp.gov.br/pncp-api/v1/orgaos/88370879000104/compras/2024/2725/arquivos/2
tmpKWUQhf.pdf	01612383000111-1-000007/2024	0.48	https://pncp.gov.br/pncp-api/v1/orgaos/01612383000111/compras/2024/7/arquivos/1
de9007824avisodispensa.pdf	00488478000102-1-000502/2024	1.38	https://pncp.gov.br/pncp-api/v1/orgaos/00488478000102/compras/2024/502/arquivos/1
Termo_de_Referencia_da_Alimentacao__2_.pdf	07954480000179-1-019415/2024	0.76	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19415/arquivos/1
SEI_60327991_Termo_de_Reconhecimento_Ratificacao.pdf	00394494010441-1-000617/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/1
22%2F2024.pdf	00394494010441-1-000617/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/3
Aviso%2Bde%2BDispensa%2B05%2B2024%2Be%2BAnexos.pdf	00394494010441-1-000617/2024	1.02	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/2
14%2F2024.pdf	00394494010441-1-000617/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/4
SEI_08656.028297_2024_51-1.pdf	00394494010441-1-000617/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/5
17%2F2024.pdf	00394494010441-1-000617/2024	0.20	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/6
5%2F2024.pdf	00394494010441-1-000617/2024	0.16	https://pncp.gov.br/pncp-api/v1/orgaos/00394494010441/compras/2024/617/arquivos/7
edital-com-termo-de-refencia-unificado-livros-com-orcamento-sigilosopdf-1729030123.pdf	06014005000150-1-000018/2024	1.08	https://pncp.gov.br/pncp-api/v1/orgaos/06014005000150/compras/2024/18/arquivos/1
Aviso_244985.pdf	00697295010160-1-000024/2024	0.28	https://pncp.gov.br/pncp-api/v1/orgaos/00697295010160/compras/2024/24/arquivos/2
Proposta+%281%29.pdf	00394429000100-1-002456/2024	1.06	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2456/arquivos/1
Autorizacao+de+Despesa.pdf	00394429000100-1-002456/2024	0.28	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2456/arquivos/2
Termo+de+Referencia.pdf	00394429000100-1-002456/2024	0.14	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2456/arquivos/3
SEI_20807218_Documento_de_Formalizacao_da_Demanda___DFD_1__Regiao.pdf	00508903000188-1-002569/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/00508903000188/compras/2024/2569/arquivos/1
SEI_20891542_Termo_de_Referencia.pdf	00508903000188-1-002569/2024	0.11	https://pncp.gov.br/pncp-api/v1/orgaos/00508903000188/compras/2024/2569/arquivos/2
SEI_21090193_Autorizacao.pdf	00508903000188-1-002569/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/00508903000188/compras/2024/2569/arquivos/3
Edital+PE+1335.2024.pdf	83891283000136-1-001027/2024	0.36	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/1
%22Anexo+II+-+Planilha+de+Formacao+de+Precos.xlsx	83891283000136-1-001027/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/3
%22Anexo+III+-+Acordo+de+Nivel+de+Servicos.pdf	83891283000136-1-001027/2024	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/4
%22Anexo+I+-+Termo+de+Referencia+ATUALIZADO.pdf	83891283000136-1-001027/2024	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/8
%22Anexo+IV+-+Estudo+Tecnico+Preliminar.pdf	83891283000136-1-001027/2024	0.22	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/5
%22Anexo+VI+-+Modelo+de+Proposta+de+Precos+ATUALIZADO.pdf	83891283000136-1-001027/2024	0.34	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/9
%22Anexo+VI-B+-+Planilha+Auxiliar+para+Elaboracao+da+Proposta+de+Precos.xlsx	83891283000136-1-001027/2024	0.03	https://pncp.gov.br/pncp-api/v1/orgaos/83891283000136/compras/2024/1027/arquivos/10
02a+Edital+-+CSI+01.2024.pdf	76669324000189-1-000104/2024	0.72	https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2024/104/arquivos/1
02c+Anexo+II+-+Matriz+de+Riscos.pdf	76669324000189-1-000104/2024	0.38	https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2024/104/arquivos/2
02d+Anexo+IV+-+Criterios+de+Pagamento+e+Cronograma+Fisico+e+Financeiro+do+DER-PR.pdf	76669324000189-1-000104/2024	0.45	https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2024/104/arquivos/3
Ficha+de+Autorizacao.pdf	00394429000100-1-002455/2024	0.18	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2455/arquivos/1
02e1+Anexo+V+-+Projeto+Basico+-+Volume+1+-+Relatorio+-+Subtrecho+01.pdf	76669324000189-1-000104/2024	5.92	https://pncp.gov.br/pncp-api/v1/orgaos/76669324000189/compras/2024/104/arquivos/4
Autorizacao+de+Abertura+de+Dispensa.pdf	00394429000100-1-002455/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2455/arquivos/2
Termo+de+Referencia.pdf	00394429000100-1-002455/2024	0.23	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2455/arquivos/3
Parecer+Tecnico.pdf	00394429000100-1-002455/2024	0.53	https://pncp.gov.br/pncp-api/v1/orgaos/00394429000100/compras/2024/2455/arquivos/4
EDITAL.pdf	23489834000108-1-000035/2024	0.38	https://pncp.gov.br/pncp-api/v1/orgaos/23489834000108/compras/2024/35/arquivos/1
TERMO+DE+REFERENCIA.pdf	23489834000108-1-000035/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/23489834000108/compras/2024/35/arquivos/2
TERMO_DE_REFERENCIA.PDF	01740505000155-1-000057/2024	0.46	https://pncp.gov.br/pncp-api/v1/orgaos/01740505000155/compras/2024/57/arquivos/1
aut-aviso-etp-tr.pdf	00394502000144-1-013843/2024	1.33	https://pncp.gov.br/pncp-api/v1/orgaos/00394502000144/compras/2024/13843/arquivos/1
TR___FERRAMENTAS_ELETRICAS_E_SACA_POLIA.pdf	34164319000174-1-000214/2024	0.32	https://pncp.gov.br/pncp-api/v1/orgaos/34164319000174/compras/2024/214/arquivos/1
edital1392024.pdf	83754044000134-1-000244/2024	0.62	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/1
01DFDobraparque1.pdf	83754044000134-1-000244/2024	0.54	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/2
03trservicoscomunsengenhariaCURITIBANOSdrena.pdf	83754044000134-1-000244/2024	1.22	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/4
02ETPparque.pdf	83754044000134-1-000244/2024	2.23	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/3
07MAPAMATRIZDERISCOS.pdf	83754044000134-1-000244/2024	2.83	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/5
juntos.pdf	83754044000134-1-000244/2024	0.82	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/6
10REQUISICAODEPUBLICACAODEEDITALDELICITACAO.pdf	83754044000134-1-000244/2024	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/83754044000134/compras/2024/244/arquivos/7
ilovepdf_merged+%2838%29.pdf	17220203000196-1-000131/2024	0.58	https://pncp.gov.br/pncp-api/v1/orgaos/17220203000196/compras/2024/131/arquivos/1
16%2F2024.pdf	49203332000162-1-000004/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/49203332000162/compras/2024/4/arquivos/2
TERMO+INEX_.pdf	49203332000162-1-000004/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/49203332000162/compras/2024/4/arquivos/1
Ato8526394912135088530.pdf	17503475000101-1-000094/2024	0.05	https://pncp.gov.br/pncp-api/v1/orgaos/17503475000101/compras/2024/94/arquivos/1
2710461.pdf	00284689000123-1-000085/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/00284689000123/compras/2024/85/arquivos/1
PROPOSTA.pdf	90836693000140-1-000738/2024	0.10	https://pncp.gov.br/pncp-api/v1/orgaos/90836693000140/compras/2024/738/arquivos/1
PARECER.pdf	90836693000140-1-000738/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/90836693000140/compras/2024/738/arquivos/2
SEI_PMC+-+12178550+-+Termo+de+Referencia.pdf	51885242000140-1-000405/2024	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/51885242000140/compras/2024/405/arquivos/1
SEI_PMC+-+12178400+-+Estudo+Tecnico+Preliminar+-+ETP.pdf	51885242000140-1-000405/2024	0.21	https://pncp.gov.br/pncp-api/v1/orgaos/51885242000140/compras/2024/405/arquivos/2
56%2F2024.pdf	00394460000141-1-001576/2024	0.07	https://pncp.gov.br/pncp-api/v1/orgaos/00394460000141/compras/2024/1576/arquivos/2
ORCAMENTO+-+WP+GRAFICA.pdf	00394460000141-1-001576/2024	0.25	https://pncp.gov.br/pncp-api/v1/orgaos/00394460000141/compras/2024/1576/arquivos/1
TermoDeParticipacao_20240022.pdf	07954480000179-1-019414/2024	0.08	https://pncp.gov.br/pncp-api/v1/orgaos/07954480000179/compras/2024/19414/arquivos/1
SEI_CREA-PR+-+1876153+-+Ordem+de+Compra+e_ou+Servico.pdf	76639384000159-1-000194/2024	0.15	https://pncp.gov.br/pncp-api/v1/orgaos/76639384000159/compras/2024/194/arquivos/1
Edital.pdf	13927801000149-1-000199/2024	0.19	https://pncp.gov.br/pncp-api/v1/orgaos/13927801000149/compras/2024/199/arquivos/1
Edital.pdf	44892693000140-1-000589/2024	0.59	https://pncp.gov.br/pncp-api/v1/orgaos/44892693000140/compras/2024/589/arquivos/1
Edital.pdf	13796016000102-1-000053/2024	0.62	https://pncp.gov.br/pncp-api/v1/orgaos/13796016000102/compras/2024/53/arquivos/1
Edital.pdf	03591097000142-1-000001/2024	0.39	https://pncp.gov.br/pncp-api/v1/orgaos/03591097000142/compras/2024/1/arquivos/1
Edital.pdf	13927819000140-1-000034/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/13927819000140/compras/2024/34/arquivos/1
Edital.pdf	13927819000140-1-000035/2024	0.12	https://pncp.gov.br/pncp-api/v1/orgaos/13927819000140/compras/2024/35/arquivos/1
Edital.pdf	44892693000140-1-000588/2024	0.63	https://pncp.gov.br/pncp-api/v1/orgaos/44892693000140/compras/2024/588/arquivos/1
Edital.pdf	44892693000140-1-000587/2024	0.50	https://pncp.gov.br/pncp-api/v1/orgaos/44892693000140/compras/2024/587/arquivos/1
Edital.pdf	13644919000160-1-000010/2024	0.41	https://pncp.gov.br/pncp-api/v1/orgaos/13644919000160/compras/2024/10/arquivos/1
Edital.pdf	07356585000126-1-000008/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/07356585000126/compras/2024/8/arquivos/1
Edital.pdf	46711362000191-1-000255/2024	8.85	https://pncp.gov.br/pncp-api/v1/orgaos/46711362000191/compras/2024/255/arquivos/1
Edital.pdf	13937032000160-1-001833/2024	2.50	https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2024/1833/arquivos/1
Edital.pdf	13806237000106-1-000235/2024	1.64	https://pncp.gov.br/pncp-api/v1/orgaos/13806237000106/compras/2024/235/arquivos/1
Edital1708828753809449308.pdf	22675359000100-1-000081/2024	0.70	https://pncp.gov.br/pncp-api/v1/orgaos/22675359000100/compras/2024/81/arquivos/1
Edital.pdf	45276128000110-1-002088/2024	1.06	https://pncp.gov.br/pncp-api/v1/orgaos/45276128000110/compras/2024/2088/arquivos/1
Edital.pdf	13937032000160-1-001832/2024	1.27	https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2024/1832/arquivos/1
Edital.pdf	01005727000124-1-000285/2024	0.45	https://pncp.gov.br/pncp-api/v1/orgaos/01005727000124/compras/2024/285/arquivos/1
Edital.pdf	13937032000160-1-001831/2024	1.27	https://pncp.gov.br/pncp-api/v1/orgaos/13937032000160/compras/2024/1831/arquivos/1
Edital.pdf	13806237000106-1-000234/2024	1.97	https://pncp.gov.br/pncp-api/v1/orgaos/13806237000106/compras/2024/234/arquivos/1
Edital.pdf	13166970000103-1-000102/2024	0.49	https://pncp.gov.br/pncp-api/v1/orgaos/13166970000103/compras/2024/102/arquivos/1
Edital.pdf	76205962000149-1-000091/2024	0.52	https://pncp.gov.br/pncp-api/v1/orgaos/76205962000149/compras/2024/91/arquivos/1
ilovepdf_merged+%2837%29.pdf	17220203000196-1-000130/2024	0.62	https://pncp.gov.br/pncp-api/v1/orgaos/17220203000196/compras/2024/130/arquivos/1
Edital.pdf	08678659000103-1-000005/2024	1.59	https://pncp.gov.br/pncp-api/v1/orgaos/08678659000103/compras/2024/5/arquivos/1
DFD201_2024.pdf	00394452000103-1-019063/2024	0.04	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19063/arquivos/1
Edital.pdf	23066814000124-1-000010/2024	1.15	https://pncp.gov.br/pncp-api/v1/orgaos/23066814000124/compras/2024/10/arquivos/1
Edital.pdf	07597347000102-1-000003/2024	0.91	https://pncp.gov.br/pncp-api/v1/orgaos/07597347000102/compras/2024/3/arquivos/1
RESERVA_RODO.pdf	00394452000103-1-019063/2024	0.13	https://pncp.gov.br/pncp-api/v1/orgaos/00394452000103/compras/2024/19063/arquivos/2
